Date,Close,High,Low,Open,Volume
2014-11-06,349.29,352.966,338.424,339.458,18797000
2014-11-07,342.415,352.732,341.776,349.818,16834200
2014-11-08,345.488,347.032,342.154,342.154,8535470
2014-11-09,363.264,363.626,344.255,345.376,24205600
2014-11-10,366.924,374.816,357.561,362.265,30450100
2014-11-11,367.695,371.31,363.735,365.857,15838900
2014-11-12,423.561,429.718,367.985,367.985,45783200
2014-11-13,420.735,457.093,401.123,427.273,58945000
2014-11-14,397.818,419.252,384.789,418.417,29589200
2014-11-15,376.133,405.528,371.008,399.65,15727500
2014-11-16,387.882,390.799,374.602,374.73,11905600
2014-11-17,387.408,410.199,377.502,388.349,41518800
2014-11-18,375.198,392.402,371.117,387.785,32222500
2014-11-19,380.555,386.481,373.896,373.896,18931800
2014-11-20,357.84,382.025,356.781,380.307,25233200
2014-11-21,350.848,357.879,344.112,357.879,29850100
2014-11-22,352.92,364.841,350.878,351.604,15273000
2014-11-23,367.573,370.845,353.175,353.175,15151600
2014-11-24,376.901,387.209,366.669,366.948,30930100
2014-11-25,375.348,394.701,374.784,376.886,25442200
2014-11-26,368.37,377.698,365.816,376.019,18601700
2014-11-27,369.67,373.992,368.282,370.502,8748030
2014-11-28,376.447,382.838,358.455,369.374,22946500
2014-11-29,375.491,387.601,372.145,376.152,15375600
2014-11-30,378.047,382.527,373.309,375.51,9194440
2014-12-01,379.245,383.662,376.669,378.249,11763000
2014-12-02,381.315,384.038,377.863,379.25,12364100
2014-12-03,375.01,383.026,374.346,381.722,13340100
2014-12-04,369.604,378.655,367.759,375.718,14529600
2014-12-05,376.854,379.192,365.756,369.442,15181800
2014-12-06,374.785,378.448,370.945,376.757,7009320
2014-12-07,375.095,376.292,373.275,374.836,6491650
2014-12-08,361.909,376.029,361.886,374.965,18898700
2014-12-09,352.219,363.067,344.951,361.895,32915500
2014-12-10,346.365,352.384,346.365,352.205,16427700
2014-12-11,350.506,361.357,338.763,344.34,32431300
2014-12-12,352.542,352.983,349.291,350.833,16989800
2014-12-13,347.376,352.381,346.588,352.381,11675900
2014-12-14,351.632,353.316,345.418,346.727,12415200
2014-12-15,345.345,351.815,344.934,351.361,17264200
2014-12-16,327.062,345.859,327.062,345.673,30864900
2014-12-17,319.776,333.954,315.152,326.855,37567900
2014-12-18,311.396,323.709,304.232,319.785,39173000
2014-12-19,317.843,318.533,306.769,311.179,23823100
2014-12-20,329.956,330.325,316.044,317.619,20856700
2014-12-21,320.843,329.629,318.903,329.543,15207600
2014-12-22,331.886,334.117,320.425,321.068,22315100
2014-12-23,334.572,336.287,329.602,332.017,16574200
2014-12-24,322.534,334.741,321.357,334.385,15092300
2014-12-25,319.008,322.67,316.958,322.286,9883640
2014-12-26,327.924,331.424,316.627,319.152,16410500
2014-12-27,315.863,328.911,312.63,327.583,15185200
2014-12-28,317.239,320.028,311.078,316.16,11676600
2014-12-29,312.67,320.267,312.307,317.701,12302500
2014-12-30,310.737,314.809,309.373,312.719,12528300
2014-12-31,320.193,320.193,310.211,310.914,13942900
2015-01-01,314.249,320.435,314.003,320.435,8036550
2015-01-02,315.032,315.839,313.565,314.079,7860650
2015-01-03,281.082,315.15,281.082,314.846,33054400
2015-01-04,264.195,287.23,257.612,281.146,55629100
2015-01-05,274.474,278.341,265.084,265.084,43962800
2015-01-06,286.189,287.553,272.696,274.611,23245700
2015-01-07,294.337,298.754,283.079,286.077,24866800
2015-01-08,283.349,294.135,282.175,294.135,19982500
2015-01-09,290.408,291.114,280.533,282.383,18718600
2015-01-10,274.796,288.127,273.966,287.303,15264300
2015-01-11,265.66,279.638,265.039,274.608,18200800
2015-01-12,267.796,272.203,265.2,266.146,18880300
2015-01-13,225.861,268.277,219.906,267.394,72843904
2015-01-14,178.103,223.894,171.51,223.894,97638704
2015-01-15,209.844,229.067,176.897,176.897,81773504
2015-01-16,208.097,221.591,199.771,209.07,38421000
2015-01-17,199.26,211.731,194.875,207.834,23469700
2015-01-18,210.339,218.695,194.506,200.05,30085100
2015-01-19,214.861,216.728,207.318,211.471,18658300
2015-01-20,211.315,215.241,205.153,212.907,24051100
2015-01-21,226.897,227.788,211.212,211.378,29924600
2015-01-22,233.406,237.019,226.434,227.322,33544600
2015-01-23,232.879,234.845,225.196,233.517,24621700
2015-01-24,247.847,248.21,230.022,232.7,24782500
2015-01-25,253.718,255.074,243.89,247.352,33582700
2015-01-26,273.473,309.384,254.079,254.079,106794000
2015-01-27,263.475,275.48,250.653,273.167,44399000
2015-01-28,233.915,266.535,227.046,263.351,44352200
2015-01-29,233.513,238.706,220.712,233.348,32213400
2015-01-30,226.425,242.851,225.839,232.772,26605200
2015-01-31,217.464,233.504,216.309,226.441,23348200
2015-02-01,226.972,231.574,212.015,216.867,29128500
2015-02-02,238.229,242.175,222.659,226.491,30612100
2015-02-03,227.268,245.957,224.483,237.454,40783700
2015-02-04,226.853,230.058,221.113,227.511,26594300
2015-02-05,217.111,239.405,214.725,227.665,22516400
2015-02-06,222.266,230.51,216.232,216.923,24435300
2015-02-07,227.754,230.299,222.607,222.633,21604200
2015-02-08,223.412,229.438,221.077,227.693,17145200
2015-02-09,220.11,223.977,217.019,223.389,27791300
2015-02-10,219.839,221.807,215.332,220.282,21115100
2015-02-11,219.185,223.406,218.074,219.732,17201900
2015-02-12,221.764,222.199,217.614,219.208,15206200
2015-02-13,235.427,240.259,221.262,221.969,42744400
2015-02-14,257.321,259.808,235.528,235.528,49732500
2015-02-15,234.825,265.611,227.684,257.507,56552400
2015-02-16,233.843,239.521,229.022,234.825,28153700
2015-02-17,243.61,245.775,232.314,233.422,27363100
2015-02-18,236.326,244.251,232.34,243.78,25200800
2015-02-19,240.283,242.672,235.592,236.41,18270500
2015-02-20,243.779,247.101,239.299,240.251,23876700
2015-02-21,244.534,255.32,243.184,243.752,12284200
2015-02-22,235.977,246.392,233.851,244.544,19527000
2015-02-23,238.892,240.109,232.421,235.995,16400000
2015-02-24,238.735,239.901,236.402,238.998,14200400
2015-02-25,237.47,239.34,235.53,238.89,11496200
2015-02-26,236.426,237.71,234.257,237.337,13619400
2015-02-27,253.828,256.653,236.436,236.436,44013900
2015-02-28,254.263,254.692,249.479,253.52,13949300
2015-03-01,260.202,261.66,245.933,254.283,25213700
2015-03-02,275.67,276.301,258.313,260.357,40465700
2015-03-03,281.702,285.796,268.161,275.046,50461300
2015-03-04,273.092,284.225,268.126,281.99,41383000
2015-03-05,276.178,281.667,264.769,272.739,41302400
2015-03-06,272.723,277.608,270.015,275.6,28918900
2015-03-07,276.261,277.854,270.133,272.294,17825900
2015-03-08,274.354,277.858,272.565,276.433,22067900
2015-03-09,289.607,292.701,273.893,274.812,59178200
2015-03-10,291.76,300.044,289.743,289.862,67770800
2015-03-11,296.379,297.391,290.508,291.525,33963900
2015-03-12,294.354,297.088,292.413,296.127,32585200
2015-03-13,285.337,294.498,285.337,294.118,31421500
2015-03-14,281.885,286.342,280.976,284.442,22612300
2015-03-15,286.393,286.529,280.996,281.425,11970100
2015-03-16,290.593,294.112,285.685,285.685,21516100
2015-03-17,285.505,292.365,284.374,290.595,21497200
2015-03-18,256.299,285.336,249.87,285.067,57008000
2015-03-19,260.928,264.244,248.636,255.88,52732000
2015-03-20,261.749,264.848,259.162,260.956,18456700
2015-03-21,260.025,262.196,255.65,261.644,17130100
2015-03-22,267.96,269.747,259.59,259.917,18438100
2015-03-23,266.74,277.297,261.745,267.895,22811900
2015-03-24,245.595,267.003,244.155,266.577,40073700
2015-03-25,246.197,249.19,236.515,247.472,35866900
2015-03-26,248.532,254.354,244.905,246.276,25730000
2015-03-27,247.029,256.811,245.213,248.566,17274900
2015-03-28,252.798,254.205,246.975,246.975,16040900
2015-03-29,242.713,253.139,240.85,252.74,21699400
2015-03-30,247.526,249.242,239.214,242.879,23009600
2015-03-31,244.224,248.73,242.739,247.454,22672000
2015-04-01,247.272,247.541,241.16,244.223,22877200
2015-04-02,253.005,254.461,245.416,247.089,26272600
2015-04-03,254.322,256.043,251.879,253.074,23146600
2015-04-04,253.697,255.258,251.1,254.291,12493500
2015-04-05,260.598,260.675,251.942,253.761,19649200
2015-04-06,255.492,261.798,254.575,260.721,20034200
2015-04-07,253.18,255.805,252.205,255.274,18467400
2015-04-08,245.022,253.847,244.215,253.064,30086400
2015-04-09,243.676,246.118,239.4,244.751,21643500
2015-04-10,236.072,243.694,232.771,243.694,28882000
2015-04-11,236.552,239.537,234.175,236.016,16365200
2015-04-12,236.153,237.728,233.495,236.535,12387900
2015-04-13,224.587,236.935,221.996,235.95,31181800
2015-04-14,219.159,224.976,216.323,224.759,31719000
2015-04-15,223.833,223.833,218.649,219.073,22562000
2015-04-16,228.573,229.672,223.917,223.917,24805400
2015-04-17,222.882,228.906,221.942,228.575,20429800
2015-04-18,223.356,224.316,220.876,222.853,12939000
2015-04-19,222.6,226.353,222.373,223.456,15021500
2015-04-20,224.626,226.351,221.977,222.612,18364700
2015-04-21,235.269,235.269,224.301,224.62,24978000
2015-04-22,234.176,237.909,233.476,235.602,23847900
2015-04-23,236.462,236.475,233.199,234.053,17036000
2015-04-24,231.268,236.305,229.933,235.97,21448700
2015-04-25,226.39,232.561,226.337,231.235,13957200
2015-04-26,219.43,226.944,214.874,226.41,28943700
2015-04-27,229.286,233.305,218.023,219.429,38574000
2015-04-28,225.855,229.495,223.069,228.969,21469200
2015-04-29,225.808,227.04,223.43,225.591,18936500
2015-04-30,236.145,239.563,224.993,225.693,33818600
2015-05-01,232.079,238.966,232.079,235.939,18815300
2015-05-02,234.93,235.727,232.341,232.341,12535500
2015-05-03,240.358,243.24,234.083,234.88,18494100
2015-05-04,239.018,242.638,237.81,240.356,21223400
2015-05-05,236.121,239.204,232.054,238.852,23929100
2015-05-06,229.782,236.454,229.231,236.249,29587200
2015-05-07,237.334,239.105,228.573,229.662,29064400
2015-05-08,243.863,246.275,236.274,237.204,27445500
2015-05-09,241.832,247.804,239.639,243.769,19790500
2015-05-10,240.296,244.068,238.849,241.729,15019100
2015-05-11,242.158,244.27,239.376,240.299,20892300
2015-05-12,241.112,242.881,240.099,242.145,19282600
2015-05-13,236.377,243.704,235.045,241.398,27180100
2015-05-14,236.929,237.799,234.057,236.214,24413700
2015-05-15,237.605,238.753,236.795,236.955,16329400
2015-05-16,236.153,237.697,235.295,237.644,11089700
2015-05-17,236.802,238.025,236.01,236.01,11134300
2015-05-18,233.128,237.21,232.46,236.887,16780300
2015-05-19,231.947,234.151,231.817,233.037,14241900
2015-05-20,234.018,234.683,231.842,231.89,15499400
2015-05-21,235.344,236.242,233.835,234.016,15108900
2015-05-22,240.348,240.969,235.06,235.321,27003000
2015-05-23,238.872,241.025,238.691,240.286,14605000
2015-05-24,240.953,241.978,238.811,238.976,11508000
2015-05-25,237.11,241.021,236.637,240.927,14423900
2015-05-26,237.116,238.242,235.692,237.104,16425000
2015-05-27,237.283,238.636,236.695,237.065,18837000
2015-05-28,237.408,237.824,236.652,237.257,13829600
2015-05-29,237.096,237.522,235.731,237.377,14805000
2015-05-30,233.345,237.093,232.046,237.092,14098600
2015-05-31,230.19,233.252,229.542,233.135,14730800
2015-06-01,222.926,231.713,221.296,230.233,26090500
2015-06-02,225.803,226.416,222.419,222.894,20459000
2015-06-03,225.874,227.404,223.93,225.736,17752400
2015-06-04,224.324,226.581,224.054,225.772,14728100
2015-06-05,224.952,225.968,223.179,224.154,18056500
2015-06-06,225.619,225.719,224.379,225.005,11131500
2015-06-07,222.881,226.194,222.652,225.596,13318400
2015-06-08,228.489,229.464,222.839,222.879,23378400
2015-06-09,229.048,230.954,227.929,228.538,28353100
2015-06-10,228.803,229.782,228.01,228.995,15904800
2015-06-11,229.705,230.287,228.767,228.855,14416000
2015-06-12,229.982,231.057,229.313,229.705,14017700
2015-06-13,232.402,232.652,229.21,229.92,13305300
2015-06-14,233.543,234.858,232.004,232.442,12165900
2015-06-15,236.823,237.836,233.422,233.422,19912100
2015-06-16,250.895,251.742,236.122,236.765,41612000
2015-06-17,249.284,256.853,246.476,250.823,43858400
2015-06-18,249.007,252.108,244.127,249.428,30980200
2015-06-19,244.606,250.977,243.787,249.043,23965300
2015-06-20,245.212,245.828,240.627,244.53,20608100
2015-06-21,243.944,245.224,241.882,245.1,10600900
2015-06-22,246.99,247.917,243.779,243.969,17692500
2015-06-23,244.296,247.304,243.133,246.927,15108700
2015-06-24,240.515,244.341,240.515,244.282,17344900
2015-06-25,242.799,243.332,240.365,240.365,16133100
2015-06-26,243.594,243.749,241.553,242.604,13983500
2015-06-27,250.99,251.339,243.117,243.549,20488600
2015-06-28,249.011,251.172,247.434,250.955,15137600
2015-06-29,257.064,257.173,248.581,248.721,34742900
2015-06-30,263.072,267.867,255.946,257.036,44533800
2015-07-01,258.621,265.172,255.774,263.345,27029800
2015-07-02,255.412,261.631,254.116,258.552,21551900
2015-07-03,256.336,257.077,253.505,255.459,19033800
2015-07-04,260.886,261.457,254.2,256.491,15620400
2015-07-05,271.913,274.506,258.701,260.805,44156100
2015-07-06,269.03,277.422,267.6,271.108,49154800
2015-07-07,266.207,271.341,264.832,269.963,28857600
2015-07-08,270.785,272.971,264.386,265.982,36980200
2015-07-09,269.228,272.335,267.086,270.827,40301200
2015-07-10,284.894,294.591,268.802,269.156,100390000
2015-07-11,293.115,298.506,283.53,284.88,41109900
2015-07-12,310.867,314.394,292.505,293.14,56405000
2015-07-13,292.054,310.948,281.011,310.827,62053900
2015-07-14,287.464,296.147,286.638,292.034,28727200
2015-07-15,285.829,293.248,285.367,288.045,27486600
2015-07-16,278.089,291.183,275.24,286.042,49482600
2015-07-17,279.472,280.28,272.043,278.091,27591400
2015-07-18,274.901,282.527,274.075,279.331,25187100
2015-07-19,273.614,275.67,272.513,274.767,15332500
2015-07-20,278.981,278.981,272.96,273.499,22711400
2015-07-21,275.833,280.547,275.419,278.882,22930700
2015-07-22,277.222,277.666,274.381,275.657,19389800
2015-07-23,276.049,278.111,275.716,277.341,18531300
2015-07-24,288.278,289.253,275.254,276.005,37199400
2015-07-25,288.697,290.733,286.002,288.164,20662200
2015-07-26,292.686,293.052,287.706,288.64,16032300
2015-07-27,293.624,297.774,287.45,292.639,30592000
2015-07-28,294.427,296.649,293.423,293.633,25453600
2015-07-29,289.59,294.536,288.777,294.484,24672600
2015-07-30,287.722,290.126,286.568,289.103,21635800
2015-07-31,284.65,288.959,282.344,287.696,23629100
2015-08-01,281.601,284.932,278.112,284.686,18995000
2015-08-02,282.614,283.032,277.529,280.449,17722200
2015-08-03,281.227,285.471,280.233,282.806,21474100
2015-08-04,285.218,285.715,281.225,281.225,21908700
2015-08-05,281.882,285.501,281.488,284.847,20128000
2015-08-06,278.577,281.906,278.403,281.906,18792100
2015-08-07,279.585,280.392,276.366,278.741,42484800
2015-08-08,260.997,279.928,260.71,279.742,58533000
2015-08-09,265.083,267.003,260.468,261.116,23789600
2015-08-10,264.47,267.032,262.596,265.478,20979400
2015-08-11,270.386,270.386,264.094,264.342,25433900
2015-08-12,266.376,270.673,265.469,270.598,26815400
2015-08-13,264.08,266.232,262.841,266.183,27685500
2015-08-14,265.68,267.466,261.478,264.132,27091200
2015-08-15,261.551,266.667,261.296,265.529,19321100
2015-08-16,258.507,262.44,257.041,261.866,29717000
2015-08-17,257.976,260.505,257.117,258.49,21617900
2015-08-18,211.079,257.993,211.079,257.926,42147200
2015-08-19,226.684,237.409,222.766,225.671,60869200
2015-08-20,235.35,237.365,226.899,226.899,32275000
2015-08-21,232.569,236.432,231.724,235.355,23173800
2015-08-22,230.39,234.957,222.704,232.662,23205900
2015-08-23,228.169,232.705,225.58,230.376,18406600
2015-08-24,210.495,228.139,210.443,228.112,59220700
2015-08-25,221.609,226.321,199.567,210.068,61089200
2015-08-26,225.831,231.183,220.204,222.076,31808000
2015-08-27,224.769,228.643,223.684,226.05,21905400
2015-08-28,231.396,235.219,220.926,224.701,31336600
2015-08-29,229.78,233.222,227.33,231.549,17142500
2015-08-30,228.761,232.068,226.247,229.895,19412600
2015-08-31,230.056,231.956,225.915,229.114,20710700
2015-09-01,228.121,231.216,226.86,230.256,20575200
2015-09-02,229.284,230.577,226.475,228.027,18760400
2015-09-03,227.183,229.605,226.667,229.324,17482000
2015-09-04,230.298,230.9,227.051,227.215,20962400
2015-09-05,235.019,236.143,229.443,230.199,20671400
2015-09-06,239.84,242.912,234.681,234.87,25473700
2015-09-07,239.847,242.106,238.722,239.934,21192200
2015-09-08,243.607,245.781,239.678,239.846,26879200
2015-09-09,238.168,244.416,237.821,243.415,23635700
2015-09-10,238.477,241.293,235.791,238.336,21215500
2015-09-11,240.107,241.169,238.329,238.329,19224700
2015-09-12,235.229,240.124,234.754,239.855,17962600
2015-09-13,230.512,235.935,229.332,235.242,18478800
2015-09-14,230.644,232.44,227.961,230.609,20997800
2015-09-15,230.304,259.182,229.822,230.492,19177800
2015-09-16,229.091,231.215,227.402,230.25,20144200
2015-09-17,229.81,230.285,228.926,229.076,18935400
2015-09-18,232.975,234.353,232.185,233.521,20242200
2015-09-19,231.493,233.205,231.089,232.858,12712600
2015-09-20,231.212,232.365,230.91,231.399,14444700
2015-09-21,227.085,231.217,226.521,231.217,19678800
2015-09-22,230.618,232.386,225.117,226.969,25009300
2015-09-23,230.283,231.835,229.591,230.936,17254100
2015-09-24,234.529,235.649,230.295,230.358,25097800
2015-09-25,235.144,237.427,233.684,234.362,22363600
2015-09-26,234.34,235.403,233.358,235.076,13724100
2015-09-27,232.757,234.526,232.476,234.139,14179900
2015-09-28,239.142,239.339,232.467,232.836,24713000
2015-09-29,236.687,239.802,235.928,239.016,22691300
2015-09-30,236.06,237.734,235.629,236.64,19743500
2015-10-01,237.549,238.445,235.616,236.004,20488800
2015-10-02,237.293,238.541,236.603,237.264,19677900
2015-10-03,238.73,239.315,236.944,237.202,16482700
2015-10-04,238.259,238.968,237.94,238.531,12999000
2015-10-05,240.383,240.383,237.035,238.147,23335900
2015-10-06,246.063,246.935,240.136,240.364,27535100
2015-10-07,242.969,246.681,242.585,246.17,22999200
2015-10-08,242.304,244.251,242.179,243.075,18515300
2015-10-09,243.931,244.228,242.122,242.498,17353100
2015-10-10,244.941,245.319,243.074,243.74,15912700
2015-10-11,247.05,247.243,244.152,244.742,16827300
2015-10-12,245.308,247.454,245.179,246.875,17388300
2015-10-13,249.508,250.236,243.757,245.2,28198500
2015-10-14,251.989,254.275,248.903,249.493,27462600
2015-10-15,254.32,255.962,252.046,252.107,25223500
2015-10-16,262.869,266.135,253.926,254.296,35901500
2015-10-17,270.64,273.578,262.367,262.747,43199600
2015-10-18,261.643,271.668,260.777,270.907,22434300
2015-10-19,263.437,264.82,260.951,261.861,25258800
2015-10-20,269.463,270.835,263.227,263.572,30889800
2015-10-21,266.272,270.77,263.839,269.306,25637300
2015-10-22,274.023,276.51,266.135,266.496,37808600
2015-10-23,276.496,278.684,273.543,273.649,29442500
2015-10-24,281.654,281.706,276.504,276.504,25942400
2015-10-25,283.68,294.059,281.445,281.445,45717100
2015-10-26,285.3,285.3,280.51,283.628,32108800
2015-10-27,293.788,296.212,285.008,285.181,46331800
2015-10-28,304.618,306.331,293.703,293.703,50808100
2015-10-29,313.855,318.17,301.823,304.324,64495900
2015-10-30,328.015,334.169,313.94,313.943,78305000
2015-10-31,314.166,332.777,309.251,328.512,48598100
2015-11-01,325.431,327.472,311.881,315.005,37001100
2015-11-02,361.189,365.36,323.209,325.942,101918000
2015-11-03,403.417,417.9,357.647,361.873,206162000
2015-11-04,411.563,495.562,380.548,403.664,263900000
2015-11-05,386.354,447.561,374.581,408.077,151824992
2015-11-06,374.47,395.836,354.025,388.047,122687000
2015-11-07,386.482,390.586,372.433,374.269,56625100
2015-11-08,373.368,389.895,368.7,384.278,51817600
2015-11-09,380.257,385.278,362.895,374.324,68224400
2015-11-10,336.819,381.387,329.108,379.984,95797904
2015-11-11,311.084,340.585,300.997,339.82,107070000
2015-11-12,338.152,345.081,313.356,314.079,78477800
2015-11-13,336.753,340.914,326.075,338.498,52003000
2015-11-14,332.906,338.181,329.97,336.624,38612000
2015-11-15,320.166,334.662,317.49,333.051,44213100
2015-11-16,330.751,331.626,315.905,319.735,47980100
2015-11-17,335.094,338.35,329.614,330.362,51001600
2015-11-18,334.59,336.531,330.64,334.593,43783800
2015-11-19,326.149,335.334,325.273,334.679,45011100
2015-11-20,322.022,326.473,312.217,326.411,53152900
2015-11-21,326.927,328.159,319.595,322.092,28200500
2015-11-22,324.536,327.01,321.259,326.975,23439400
2015-11-23,323.046,325.118,321.29,324.35,27478900
2015-11-24,320.046,323.058,318.118,323.014,29362600
2015-11-25,328.206,329.134,316.77,320.045,41666900
2015-11-26,352.684,366.757,328.229,328.303,106105000
2015-11-27,358.042,363.589,347.87,351.861,55179100
2015-11-28,357.381,359.536,352.172,357.141,36816600
2015-11-29,371.294,371.939,355.666,357.472,40409300
2015-11-30,377.321,382.363,370.383,371.437,71701600
2015-12-01,362.488,378.931,356.563,377.414,60452200
2015-12-02,359.187,362.232,349.465,361.845,54160500
2015-12-03,361.046,370.275,357.412,359.331,50714900
2015-12-04,363.183,363.516,355.757,361.262,35784100
2015-12-05,388.949,389.785,363.229,363.721,66282200
2015-12-06,388.783,402.809,387.089,389.555,77762000
2015-12-07,395.536,399.969,385.411,389.978,63455800
2015-12-08,415.563,415.563,389.95,395.754,57801400
2015-12-09,417.563,423.12,406.291,414.441,90917200
2015-12-10,415.479,419.509,411.548,417.988,52138900
2015-12-11,451.938,451.938,415.281,415.281,110944000
2015-12-12,434.997,469.103,410.741,452.335,131969000
2015-12-13,433.755,441.68,426.268,431.66,55050600
2015-12-14,444.182,447.142,430.456,433.272,130496000
2015-12-15,465.321,465.321,443.878,443.878,83121104
2015-12-16,454.934,465.208,443.851,465.208,107944000
2015-12-17,456.078,457.86,448.858,454.777,47978400
2015-12-18,463.616,465.177,454.94,455.847,60220100
2015-12-19,462.322,465.581,456.765,463.552,47892700
2015-12-20,442.685,462.645,434.338,462.234,75409400
2015-12-21,438.639,444.729,427.312,442.838,77639696
2015-12-22,436.572,443.688,435.516,437.436,50840400
2015-12-23,442.401,444.529,436.619,436.72,47161400
2015-12-24,454.985,458.456,443.077,443.091,57157200
2015-12-25,455.653,458.305,452.075,454.855,39078500
2015-12-26,417.274,457.489,405.76,455.756,116166000
2015-12-27,422.823,424.007,408.883,416.514,53591200
2015-12-28,422.279,429.769,418.481,423.343,49638600
2015-12-29,432.983,432.983,420.627,422.098,51596500
2015-12-30,426.62,434.387,422.084,433.3,46889400
2015-12-31,430.567,432.921,418.735,425.875,45996600
2016-01-01,434.334,436.246,427.515,430.721,36278900
2016-01-02,433.438,436.062,431.87,434.622,30096600
2016-01-03,430.011,433.743,424.706,433.578,39633800
2016-01-04,433.091,434.517,429.084,430.061,38477500
2016-01-05,431.96,434.182,429.676,433.069,34522600
2016-01-06,429.105,431.856,426.341,431.856,34042500
2016-01-07,458.048,458.766,429.077,430.011,87562200
2016-01-08,453.23,462.934,447.938,457.538,56993000
2016-01-09,447.611,454.64,446.889,453.383,32278000
2016-01-10,447.991,448.309,440.351,448.238,35995900
2016-01-11,448.428,450.662,443.855,448.698,40450000
2016-01-12,435.69,448.182,435.69,448.182,115607000
2016-01-13,432.371,435.186,424.443,434.665,173888000
2016-01-14,430.306,433.324,427.845,432.288,43945500
2016-01-15,364.331,430.255,364.331,430.255,153351008
2016-01-16,387.536,390.557,354.914,365.073,120352000
2016-01-17,382.299,390.965,380.092,387.152,45319600
2016-01-18,387.168,388.104,376.665,381.733,54403900
2016-01-19,380.149,387.73,378.972,387.026,46819800
2016-01-20,420.23,425.267,376.599,379.74,121720000
2016-01-21,410.262,422.877,406.3,419.632,68338000
2016-01-22,382.492,410.41,375.282,409.751,91546600
2016-01-23,387.491,394.543,381.981,382.434,56247400
2016-01-24,402.971,405.485,387.51,388.102,54824800
2016-01-25,391.726,402.317,388.554,402.317,59062400
2016-01-26,392.153,397.766,390.575,392.002,58147000
2016-01-27,394.972,396.843,391.782,392.444,47424400
2016-01-28,380.289,395.502,379.735,395.146,59247900
2016-01-29,379.474,384.379,365.452,380.108,86125296
2016-01-30,378.255,380.917,376.491,378.865,30284400
2016-01-31,368.767,380.347,367.835,378.293,37894300
2016-02-01,373.056,378.072,367.957,369.35,51656700
2016-02-02,374.448,375.883,372.92,372.92,40378700
2016-02-03,369.949,374.95,368.045,374.646,45933400
2016-02-04,389.594,391.608,369.993,370.174,69285504
2016-02-05,386.549,391.094,385.572,388.898,43825000
2016-02-06,376.522,386.631,372.387,386.589,49249300
2016-02-07,376.62,380.871,374.903,376.514,37076300
2016-02-08,373.447,379.879,373.334,376.757,47671100
2016-02-09,376.029,377.246,372.898,373.423,55318500
2016-02-10,381.649,385.483,375.783,376.146,85130896
2016-02-11,379.654,383.13,376.399,382.114,74375600
2016-02-12,384.263,384.954,379.6,379.686,67042800
2016-02-13,391.86,391.86,384.641,384.641,61911700
2016-02-14,407.23,407.23,392.932,392.932,74469800
2016-02-15,400.185,410.381,397.749,407.568,74070496
